date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:11	60495/60495	---M-Z	200	added ('OK')	text/html	etag:%22ec4f-664b4093-686dcb80b3f4ea84;gz%22	https://pixelwibes.in/templates/hotelair/html/bed-list.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/bed-list.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:12	61051/61051	---M-Z	200	added ('OK')	text/html	etag:%22ee7b-664b4094-8187bdbf173390c4;gz%22	https://pixelwibes.in/templates/hotelair/html/booking-type-list.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/booking-type-list.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:12	65914/65914	---M-Z	200	added ('OK')	text/html	etag:%221017a-664b4096-15085f923a92628;gz%22	https://pixelwibes.in/templates/hotelair/html/commission-list.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/commission-list.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:12	66370/66370	---M-Z	200	added ('OK')	text/html	etag:%2210342-664b4096-10bfcffc5d83df87;gz%22	https://pixelwibes.in/templates/hotelair/html/complementary-list.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/complementary-list.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:13	62910/62910	---M-Z	200	added ('OK')	text/html	etag:%22f5be-664b4099-f68ff8c1abf3dc52;gz%22	https://pixelwibes.in/templates/hotelair/html/floor-plan-list.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/floor-plan-list.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:13	70910/70910	---M-Z	200	added ('OK')	text/html	etag:%22114fe-664b40a0-5e576a1f8dd08f62;gz%22	https://pixelwibes.in/templates/hotelair/html/room-list.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/room-list.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:13	61220/61220	---M-Z	200	added ('OK')	text/html	etag:%22ef24-664b40a0-f5bbe90e9823e741;gz%22	https://pixelwibes.in/templates/hotelair/html/room-image.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/room-image.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:14	67801/67801	---M-Z	200	added ('OK')	text/html	etag:%22108d9-664b409e-e1775d1a2b142259;gz%22	https://pixelwibes.in/templates/hotelair/html/promocode-list.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/promocode-list.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:14	65860/65860	---M-Z	200	added ('OK')	text/html	etag:%2210144-664b409a-2dc0690e6194ac9;gz%22	https://pixelwibes.in/templates/hotelair/html/index-hr.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/index-hr.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
14:31:15	62743/62743	---M-Z	200	added ('OK')	text/html	etag:%22f517-664b409a-b139632a6cf60e18;gz%22	https://pixelwibes.in/templates/hotelair/html/hrms.html	C:/Users/USER/Desktop/hotel%20main/pixelwibes.in/templates/hotelair/html/hrms.html	(from https://pixelwibes.in/templates/hotelair/html/index.html)
